RATE,TIME
17.79,252732488.1492
17.63,252732588.1492
17.93,252732688.1492
17.57,252732788.1492
18.17,252732888.1492
18.49,252732988.1492
16.94,252733088.1492
18.19,252733188.1492
18.01,252733288.1492
17.33,252733388.1492
18,252733488.1492
17.59,252733588.1492
17.24,252733688.1492
17.84,252733788.1492
17.62,252733888.1492
18.53,252733988.1492
17.99,252734088.1492
18.31,252734188.1492
17.68,252734288.1492
19.01,252734388.1492
18.97,252734488.1492
19.05,252734588.1492
18.66,252734688.1492
18.62,252734788.1492
17.88,252734888.1492
17.77,252734988.1492
18,252735088.1492
17.71,252735188.1492
17.79,252735288.1492
17.84,252735388.1492
18.25,252735488.1492
18.65,252735588.1492
17.96,252735688.1492
17.53,252735788.1492
17.46,252735888.1492
17.81,252735988.1492
18.23,252736088.1492
17.23,252736188.1492
17.95,252736288.1492
18.13,252736388.1492
18.28,252736488.1492
18.39,252736588.1492
18.22,252736688.1492
18.59,252736788.1492
18.56,252736888.1492
17.89,252736988.1492
18.25,252737088.1492
18.26,252737188.1492
18.43,252737288.1492
18.29,252737388.1492
17.79,252737488.1492
18,252737588.1492
16.66,252737688.1492
18.02,252737788.1492
18.38,252737888.1492
17.38,252737988.1492
17.53,252738088.1492
17.83,252738188.1492
17.89,252738288.1492
18.4,252738388.1492
18.64,252738488.1492
18.58,252738588.1492
19.24,252738688.1492
18.81,252738788.1492
18.85,252738888.1492
18.78,252738988.1492
18.93,252739088.1492
18.74,252739188.1492
13.9,252739288.1492
18.15,252739388.1492
18.77,252739488.1492
18.55,252739588.1492
18.39,252739688.1492
18.58,252739788.1492
19.42,252739888.1492
18.59,252739988.1492
19.08,252740088.1492
18.91,252740188.1492
19.1,252740288.1492
18.56,252740388.1492
19.13,252740488.1492
19.3,252740588.1492
18.92,252740688.1492
19.29,252740788.1492
18.12,252740888.1492
18.59,252740988.1492
18.25,252741088.1492
18.54,252741188.1492
18.54,252741288.1492
18.45,252741388.1492
18.8,252741488.1492
19.65,252741588.1492
18.96,252741688.1492
19.01,252741788.1492
19.62,252741888.1492
19.96,252741988.1492
19.92,252742088.1492
19.12,252742188.1492
11.73,252742288.1492
17.71,252742388.1492
18.84,252742488.1492
19.07,252742588.1492
18.43,252742688.1492
11.5,252742788.1492
17.67,252742888.1492
17.74,252742988.1492
17.44,252743088.1492
16.79,252743188.1492
17.06,252743288.1492
17.23,252743388.1492
16.54,252743488.1492
17.1,252743588.1492
16.57,252743688.1492
