x,xerr,y,yerr,,,
4.34500027,0.0550000668,0.00709895324,0.000130277855,0.00714087253,0.00328353862,0.00385733368
4.45499992,0.0550000668,0.00709408522,0.000134374248,0.00718212826,0.00339559186,0.00378653663
4.56500006,0.0549998283,0.00676666386,0.000134856076,0.00722282194,0.00350419665,0.00371862529
4.70249987,0.0824999809,0.00693950802,0.000115073693,0.00727065839,0.00363371847,0.00363694015
4.86749983,0.0824999809,0.00684375875,0.000118821845,0.00732621038,0.00378194312,0.00354426727
5.0374999,0.0875000954,0.00687429961,0.000119672055,0.00737854373,0.00392440474,0.00345413899
5.21500015,0.0899999142,0.00686754473,0.000122796977,0.00742800394,0.00406202581,0.00336597813
5.39499998,0.0900001526,0.00718363887,0.000130466084,0.00747054256,0.00418911874,0.00328142382
5.57499981,0.0899999142,0.00700796116,0.000133634181,0.00750493957,0.00430330681,0.00320163276
5.75500011,0.0899999142,0.0072669466,0.0001416866,0.00753053604,0.00440433668,0.00312619959
5.96500015,0.120000124,0.00749299163,0.000130373781,0.00754825771,0.00450465688,0.00304360082
6.17749977,0.0924999714,0.00849073101,0.000165390724,0.00755379908,0.00458934624,0.00296445284
6.36750031,0.0975000858,0.00834981445,0.000166719503,0.00754619949,0.00464856625,0.00289763347
6.59500027,0.129999876,0.00779945217,0.000147942803,0.00752259884,0.00470014475,0.00282245385
6.85500002,0.130000114,0.00805578567,0.000161032469,0.00747743668,0.00473571941,0.00274171727
7.18249989,0.19749999,0.00692592375,0.000134634873,0.00738907512,0.00474209944,0.00264697568
7.62249994,0.242499828,0.0071224384,0.000139373456,0.00722821243,0.00469693867,0.00253127422
8.22249985,0.357500076,0.00714873523,0.000139002907,0.00693988986,0.00454698363,0.00239290623
9.20249939,0.622499943,0.00704415049,0.000140098273,0.00634309463,0.00414003292,0.00220306171
9.90499973,0.0799999237,0.00648036879,0.000484265358,0.00583404582,0.00375633128,0.00207771477
