f,per
0.000569659,4.618836502
0.00057,0.16768997
0.00058,6.856319542
0.000582043,5.059903649
0.00059,0.220330729
0.000594427,0.132244333
0.0006,0.490189405
0.000606811,1.09591579
0.00061,0.534810354
0.000619195,0.342978994
0.00062,0.043531062
0.00063,2.064280271
0.000631579,1.502585288
0.00064,1.424276329
0.000643963,0.021239783
0.00065,4.443354126
0.000656347,1.483333197
0.00066,1.740696396
0.000668731,2.420369142
0.00067,2.575237638
0.00068,0.896729822
0.000681115,1.310746098
0.00069,7.255440681
0.000693498,0.393000751
0.0007,0.340602843
0.000705882,2.717055412
0.00071,1.009043315
0.000718266,1.421055837
0.00072,1.619711425
0.00073,1.994380218
0.00073065,1.213510922
0.00074,2.796754665
0.000743034,0.020196252
0.00075,6.476337297
0.000755418,0.234477582
0.00076,0.483058318
0.000767802,0.261078066
0.00077,0.193610343
0.00078,1.206872795
0.000780186,1.83227013
0.00079,0.79469764
0.00079257,0.493536355
0.0008,0.01889268
0.000804954,1.342872575
0.00081,0.136856867
0.000817337,0.072563876
0.00082,3.795519261
0.000829721,0.003574917
0.00083,1.827029623
0.00084,0.908381207
0.000842105,0.194892454
0.00085,4.472575555
0.000854489,1.48670182
0.00086,0.933711349
0.000866873,0.541460008
0.00087,1.084938096
0.000879257,0.842948972
0.00088,2.458698247
0.00089,0.00905942
0.000891641,2.385500925
0.0009,0.22922832
0.000904025,2.479854107
0.00091,3.854556649
0.000916409,0.720305628
0.00092,1.546322081
0.000928793,0.622654681
0.00093,4.854730418
0.00094,6.198924395
0.000941176,6.546315837
0.00095,0.952009655
0.00095356,0.518831755
0.00096,0.258844639
0.000965944,2.926704736
0.00097,0.316396691
0.000978328,2.527480223
0.00098,0.390735273
0.00099,4.027613702
0.000990712,0.175190601
0.001,1.857575532
0.001003096,1.764727116
0.00101,5.768198472
0.00101548,2.83723654
0.00102,0.258502324
0.001027864,0.696868793
0.00103,1.754449092
0.00104,1.218705219
0.001040248,2.103911092
0.00105,2.824936937
0.001052632,0.267483215
0.00106,0.919373599
0.001065015,2.042968622
0.00107,0.587004626
0.001077399,0.108510757
0.00108,1.970385912
0.001089783,1.866167227
0.00109,1.513661355
0.0011,0.662911631
0.001102167,1.4909951
0.00111,2.710087405
0.001114551,0.376228242
0.00112,0.308211539
0.001126935,2.850371529
0.00113,0.665902745
0.001139319,2.062178265
0.00114,1.582117693
0.00115,0.625490031
0.001151703,0.481440886
0.00116,0.276294916
0.001164087,0.419172649
0.00117,0.097320407
