RATE,TIME
0.04,252787888.1492
0.07,252787988.1492
0.03,252788088.1492
0.06,252788188.1492
0.03,252788288.1492
0.02,252788388.1492
0.05,252788488.1492
0.02,252788588.1492
0.04,252788688.1492
0.04,252788788.1492
0.02,252788888.1492
0.06,252788988.1492
0.06,252789088.1492
0.01,252789188.1492
0.01,252789288.1492
0.02,252789388.1492
0.02,252789488.1492
0.04,252789588.1492
0.08,252789688.1492
0.02,252789788.1492
0.05,252789888.1492
0.05,252789988.1492
0.01,252790088.1492
0.03,252790188.1492
0.02,252790288.1492
0.06,252790388.1492
0.01,252790488.1492
0.01,252790588.1492
0.08,252790688.1492
0.03,252790788.1492
0.02,252790888.1492
0.03,252790988.1492
0.04,252791088.1492
0.02,252791188.1492
0.05,252791288.1492
0.02,252791388.1492
0.02,252791488.1492
0.01,252791588.1492
0.03,252791688.1492
0.03,252791788.1492
0.05,252791888.1492
0.04,252791988.1492
0.05,252792088.1492
0.06,252792188.1492
0.04,252792288.1492
0.04,252792388.1492
0.01,252792488.1492
0.03,252792588.1492
0.02,252792688.1492
0,252792788.1492
0.01,252792888.1492
0.04,252792988.1492
0.01,252793088.1492
0.06,252793188.1492
0.02,252793288.1492
0.01,252793388.1492
0.01,252793488.1492
0.07,252793588.1492
0.05,252793688.1492
0.06,252793788.1492
0.04,252793888.1492
0.05,252793988.1492
0.02,252794088.1492
0.02,252794188.1492
0.01,252794288.1492
0.04,252794388.1492
0.06,252794488.1492
0.03,252794588.1492
0.07,252794688.1492
0,252794788.1492
0.03,252794888.1492
0.01,252794988.1492
0.03,252795088.1492
0.05,252795188.1492
0.03,252795288.1492
0.04,252795388.1492
0.02,252795488.1492
0.05,252795588.1492
0.07,252795688.1492
0.02,252795788.1492
0.04,252795888.1492
0.05,252795988.1492
0.03,252796088.1492
0.04,252796188.1492
0.07,252796288.1492
0.06,252796388.1492
0.05,252796488.1492
0,252796588.1492
0,252796688.1492
0.03,252796788.1492
0.05,252796888.1492
0.03,252796988.1492
0.03,252797088.1492
0.02,252797188.1492
0.04,252797288.1492
0.02,252797388.1492
0.04,252797488.1492
0.02,252797588.1492
0.01,252797688.1492
0.03,252797788.1492
0.05,252797888.1492
0.01,252797988.1492
0,252798088.1492
0.02,252798188.1492
0.05,252798288.1492
0.09,252798388.1492
0.03,252798488.1492
0.03,252798588.1492
0.03,252798688.1492
0.05,252798788.1492
0.06,252798888.1492
0.04,252798988.1492
0.02,252799088.1492
0.03,252799188.1492
0.01,252799288.1492
0.04,252799388.1492
0.03,252799488.1492
0.04,252799588.1492
0.03,252799688.1492
0.01,252799788.1492
0.01,252799888.1492
0.05,252799988.1492
0.07,252800088.1492
0.01,252800188.1492
0.03,252800288.1492
0.04,252800388.1492
0.02,252800488.1492
0.09,252800588.1492
0.02,252800688.1492
0,252800788.1492
0.03,252800888.1492
0.01,252800988.1492
0.04,252801088.1492
0.02,252801188.1492
0.04,252801288.1492
0.02,252801388.1492
0.02,252801488.1492
0.01,252801588.1492
0.08,252801688.1492
0.02,252801788.1492
0.02,252801888.1492
0.05,252801988.1492
0.02,252802088.1492
0.03,252802188.1492
0.01,252802288.1492
0.07,252802388.1492
0.02,252802488.1492
0.03,252802588.1492
0.04,252802688.1492
0.07,252802788.1492
0.02,252802888.1492
0.04,252802988.1492
0.03,252803088.1492
0.04,252803188.1492
0.04,252803288.1492
0.06,252803388.1492
0.05,252803488.1492
0.03,252803588.1492
0.04,252803688.1492
0.04,252803788.1492
0.03,252803888.1492
0.05,252803988.1492
0.06,252804088.1492
0.03,252804188.1492
0.03,252804288.1492
0.03,252804388.1492
0.02,252804488.1492
0.05,252804588.1492
0.03,252804688.1492
0.06,252804788.1492
0.04,252804888.1492
0.06,252804988.1492
0.04,252805088.1492
0.08,252805188.1492
0.09,252805288.1492
0.04,252805388.1492
0.03,252805488.1492
0.03,252805588.1492
0.04,252805688.1492
0.02,252805788.1492
0.08,252805888.1492
0.02,252805988.1492
0.08,252806088.1492
0.02,252806188.1492
0.03,252806288.1492
0.06,252806388.1492
0.04,252806488.1492
0.02,252806588.1492
0.03,252806688.1492
0.06,252806788.1492
0.03,252806888.1492
0.03,252806988.1492
0.05,252807088.1492
0.03,252807188.1492
0.03,252807288.1492
0.01,252807388.1492
0.01,252807488.1492
0.02,252807588.1492
0.05,252807688.1492
0.04,252807788.1492
0.03,252807888.1492
0.04,252807988.1492
0.04,252808088.1492
0.02,252808188.1492
0.08,252808288.1492
0.03,252808388.1492
0.01,252808488.1492
0.03,252808588.1492
0.03,252808688.1492
0.08,252808788.1492
0.08,252808888.1492
0.06,252808988.1492
0.04,252809088.1492
0.01,252809188.1492
0.04,252809288.1492
0.06,252809388.1492
0.02,252809488.1492
0.04,252809588.1492
0.04,252809688.1492
0.01,252809788.1492
0.04,252809888.1492
0,252809988.1492
0.03,252810088.1492
0.04,252810188.1492
0.05,252810288.1492
0.04,252810388.1492
0.01,252810488.1492
0.06,252810588.1492
0.04,252810688.1492
0.02,252810788.1492
0.06,252810888.1492
0.04,252810988.1492
0.05,252811088.1492
0.04,252811188.1492
0.07,252811288.1492
0.07,252811388.1492
0.05,252811488.1492
0.03,252811588.1492
0.02,252811688.1492
0.08,252811788.1492
0.03,252811888.1492
0.03,252811988.1492
0.02,252812088.1492
0.05,252812188.1492
0.03,252812288.1492
0.05,252812388.1492
0.03,252812488.1492
0.03,252812588.1492
0.03,252812688.1492
0.07,252812788.1492
0.06,252812888.1492
0.04,252812988.1492
0.02,252813088.1492
0.02,252813188.1492
0.05,252813288.1492
0.06,252813388.1492
0.07,252813488.1492
0.02,252813588.1492
0.06,252813688.1492
0.06,252813788.1492
0.02,252813888.1492
0.06,252813988.1492
0.06,252814088.1492
0.03,252814188.1492
0.05,252814288.1492
0.03,252814388.1492
0.01,252814488.1492
0.03,252814588.1492
0.03,252814688.1492
0.07,252814788.1492
0.02,252814888.1492
0.01,252814988.1492
0.03,252815088.1492
0.06,252815188.1492
0.02,252815288.1492
0.05,252815388.1492
0.04,252815488.1492
0.05,252815588.1492
0.05,252815688.1492
0.02,252815788.1492
0.02,252815888.1492
0.04,252815988.1492
0.03,252816088.1492
0.07,252816188.1492
0.04,252816288.1492
0.05,252816388.1492
0.03,252816488.1492
0.03,252816588.1492
0.02,252816688.1492
0.01,252816788.1492
0.01,252816888.1492
0.05,252816988.1492
0.02,252817088.1492
0.06,252817188.1492
0.08,252817288.1492
0.04,252817388.1492
0.03,252817488.1492
0.03,252817588.1492
0.04,252817688.1492
0.07,252817788.1492
0.02,252817888.1492
0.02,252817988.1492
0.05,252818088.1492
0.03,252818188.1492
0.02,252818288.1492
0.03,252818388.1492
0.01,252818488.1492
0.04,252818588.1492
0.09,252818688.1492
0.03,252818788.1492
0.03,252818888.1492
0.03,252818988.1492
0.05,252819088.1492
0.06,252819188.1492
0.04,252819288.1492
0.05,252819388.1492
0.04,252819488.1492
0.05,252819588.1492
0.05,252819688.1492
0.02,252819788.1492
0.04,252819888.1492
0.02,252819988.1492
0.04,252820088.1492
0.03,252820188.1492
0.04,252820288.1492
0.05,252820388.1492
0.09,252820488.1492
0.03,252820588.1492
0.07,252820688.1492
0.05,252820788.1492
0.05,252820888.1492
0.03,252820988.1492
0.05,252821088.1492
0.03,252821188.1492
0.03,252821288.1492
0.06,252821388.1492
0.1,252821488.1492
0.1,252821588.1492
0.07,252821688.1492
0.04,252821788.1492
0.03,252821888.1492
0.03,252821988.1492
0.05,252822088.1492
0.03,252822188.1492
0.04,252822288.1492
0.14,252822388.1492
0.04,252822488.1492
0.12,252822588.1492
0.1,252822688.1492
0.07,252822788.1492
0.04,252822888.1492
