TIME,RATE,SOURCE,BACK,FRACEXP,S_B,SBF,F2,SF,SF2
361125556.1827,2.797779,1.17,0.075,0.868274,1.095,2.60916008562124,0.932582625583093,2.7878696805268,2.98940769863014
361125756.1827,2.703967,1.11,0.055,0.8678206,1.055,2.51270878120044,0.929267546978362,2.6437030778507,2.8449321042654
361125956.1827,2.692509,1.095,0.055,0.8635873,1.04,2.46651941503651,0.916067287068126,2.5969603456394,2.83490130288461
361126156.1827,2.628603,1.075,0.06,0.8607175,1.015,2.40032972298299,0.913157948531214,2.54222113517903,2.78398839901478
361126356.1827,2.883884,1.165,0.035,0.8648154,1.13,2.68326150135921,0.930433228714888,2.76637137087033,2.97320784070796
361126556.1827,2.731947,1.085,0.035,0.8649439,1.05,2.49361649446659,0.912761665752149,2.57673704428214,2.8230119
361126756.1827,2.729055,1.095,0.05,0.8597863,1.045,2.46897524853173,0.90469970320559,2.58710803554282,2.85963179425837
361126956.1827,2.836958,1.18,0.085,0.8653874,1.095,2.60163934402662,0.917052471001198,2.80359308306065,3.05717848401826
361127156.1827,2.70959,1.105,0.06,0.859219,1.045,2.4675749960924,0.910682057467143,2.60925394323646,2.86516454545455
361127356.1827,2.507127,1.02,0.055,0.8624401,0.965,2.28602139016602,0.911809170483196,2.41631276473507,2.65002024870466
361127556.1827,2.791131,1.14,0.04,0.8664904,1.1,2.61640327756477,0.93739895317159,2.71154521493077,2.89262667272727
361127756.1827,2.585647,1.025,0.02,0.8614,1.005,2.37830379283387,0.919809932614108,2.42563322154698,2.63710266169154
361127956.1827,2.784715,1.115,0.035,0.8642444,1.08,2.56306918592579,0.920406284278926,2.64613161324746,2.87496039351852
361128156.1827,2.528437,1.02,0.035,0.8612691,0.985,2.33066925954603,0.921782610975091,2.41348491851467,2.61827993908629
361128356.1827,2.603915,1.055,0.025,0.8684329,1.03,2.45466845253261,0.942683786733674,2.51424778390476,2.66711682038835
361128556.1827,2.482635,1.015,0.05,0.8612188,0.965,2.28323117643305,0.919680571825116,2.40153330992699,2.61126893782383
361128756.1827,2.47758,1,0.05,0.8668799,0.95,2.26050130625274,0.912382771193157,2.37947505921341,2.60797894736842
361128956.1827,2.868026,1.17,0.05,0.8635647,1.12,2.65619164712206,0.926139319211911,2.77477163136858,2.996062875
361129156.1827,2.671465,1.075,0.035,0.8639722,1.04,2.46746896108777,0.923638887684388,2.55050878189361,2.76137007211538
361129356.1827,2.749039,1.105,0.04,0.8565189,1.065,2.50802025566971,0.912326182229393,2.60221819954463,2.85228929107981
361129556.1827,2.56306,1.025,0.03,0.8615891,0.995,2.35508438282925,0.918856516362962,2.42609195216079,2.64033819095477
361129756.1827,2.234196,0.915,0.06,0.8605905,0.855,2.02169585211568,0.904887419060674,2.16356924524661,2.39098168421053
361129956.1827,2.503321,1.03,0.055,0.8678956,0.975,2.32234579183938,0.927705952148917,2.45334991343032,2.64453397948718
361130156.1827,2.165452,0.895,0.05,0.8615481,0.845,1.99996453594461,0.923578327270524,2.11830563274607,2.29358525443787
361130356.1827,2.423823,0.995,0.06,0.8565313,0.935,2.20190424151953,0.908442671564522,2.34320290942453,2.57936244385027
361130556.1827,2.458244,0.99,0.05,0.8561704,0.94,2.21288035786061,0.900187433737502,2.33058675987447,2.58900165957447
361130756.1827,2.40081,0.985,0.05,0.8628907,0.935,2.21595165055753,0.923001674667105,2.33445173882264,2.52919556149733
361130956.1827,2.316077,0.955,0.06,0.8582728,0.895,2.11137889606972,0.911618610292195,2.25292384999618,2.47134473184358
361131156.1827,2.434891,0.985,0.06,0.8616381,0.925,2.18950733762009,0.899221910804257,2.33152943519545,2.59282987567568
361131356.1827,2.383547,0.98,0.06,0.8615974,0.92,2.17758353336874,0.91358950898335,2.31959985076235,2.5389957173913
361131556.1827,2.16511,0.875,0.025,0.867474,0.85,2.02375575654992,0.934712673513087,2.08327798468374,2.22878970588235
361131756.1827,2.324648,0.97,0.055,0.8686742,0.915,2.18112977134076,0.938262382666433,2.3122359324596,2.46438093989071
361131956.1827,2.535932,1.02,0.02,0.8652229,1,2.37553553383845,0.93675048614807,2.42304624451522,2.58665064
361132156.1827,2.462787,0.995,0.045,0.8630813,0.95,2.25193085415599,0.914383117239123,2.35860126303706,2.57944533157895
361132356.1827,2.432434,0.995,0.05,0.8567544,0.945,2.22595057368401,0.915112423886532,2.3437257363128,2.56113421164021
361132556.1827,2.660462,1.085,0.04,0.8680667,1.045,2.48950422796295,0.935741321606153,2.58479625582756,2.76229786602871
361132756.1827,2.756715,1.13,0.06,0.864376,1.07,2.53967126258128,0.921267255621738,2.68208273524939,2.91129714953271
361132956.1827,2.582004,1.065,0.055,0.8627986,1.01,2.39348133317285,0.926985912172426,2.52381942557335,2.72260817821782
361133156.1827,2.478592,1.02,0.06,0.8643239,0.96,2.27846485157858,0.919257728411365,2.42086890480224,2.633504
361133356.1827,2.602843,1.11,0.12,0.8598085,0.99,2.33908110984378,0.898663926269768,2.62260609285515,2.91833912121212
361133556.1827,2.61949,1.095,0.08,0.8617018,1.015,2.40269353068644,0.917237145660583,2.59206839024793,2.82595226600985
361133756.1827,2.756888,1.21,0.16,0.8674305,1.05,2.4998248368749,0.906756036833888,2.88075052630346,3.17698521904762
361133956.1827,2.812517,1.195,0.13,0.8594672,1.065,2.51542556295904,0.894368127538087,2.82247281477563,3.1558289342723
361134156.1827,2.495812,1.09,0.125,0.8623587,0.965,2.2858353155982,0.915868388964474,2.58192797305911,2.81910370984456
361134356.1827,2.621284,1.065,0.04,0.8687154,1.025,2.44344276134644,0.932154913907246,2.53879662520386,2.7235780097561
361134556.1827,2.747208,1.08,0.025,0.8511693,1.055,2.47121533212804,0.899537032553794,2.52977493715477,2.81230771563981
361134756.1827,2.842894,1.16,0.04,0.8662621,1.12,2.66336613034642,0.936850311811282,2.75848634928737,2.94442592857143
361134956.1827,2.713006,1.11,0.045,0.8676482,1.065,2.53608866666913,0.934789184642103,2.64324734272557,2.82764005633803
361135156.1827,2.583208,1.03,0.025,0.8586697,1.005,2.37181916650426,0.918168094285964,2.43081964328297,2.64746690547264
361135356.1827,2.589411,1.05,0.04,0.858501,1.01,2.38321717920715,0.920370377358846,2.47760201798763,2.69196193069307
361135556.1827,2.339516,0.935,0.04,0.856549,0.895,2.10774243629383,0.900930977302069,2.20194321556953,2.44407537430168
361135756.1827,2.793392,1.12,0.04,0.8622906,1.08,2.558066350212,0.915756309967235,2.65280954836799,2.89685096296296
361135956.1827,2.642166,1.05,0.025,0.8599768,1.025,2.42218351573901,0.91674161113988,2.48126116246435,2.70660907317073
361136156.1827,3.352376,1.325,0.025,0.8541406,1.3,3.05416082076157,0.911043636143909,3.1128946826993,3.41684476923077
361136356.1827,2.606251,1.05,0.03,0.8680726,1.02,2.42996104727545,0.932358797090324,2.50143048984238,2.68290544117647
361136556.1827,2.190328,0.88,0.02,0.86664,0.86,2.0458576907872,0.934041700963141,2.09343577661946,2.24126586046512
361136756.1827,2.698418,1.125,0.07,0.863342,1.055,2.50148052585304,0.927017432381878,2.66745553704708,2.87745995260664
361136956.1827,3.016153,1.21,0.045,0.8642658,1.165,2.76485139089366,0.916681412015127,2.87164822573505,3.1326567639485
361137156.1827,2.27629,0.92,0.045,0.8568425,0.875,2.06124693385952,0.905529143412977,2.16725391902944,2.39335634285714
361137356.1827,2.932237,1.18,0.04,0.8586946,1.14,2.69048873344471,0.917555004402683,2.78489184689891,3.03512250877193
361137556.1827,2.509631,1.025,0.05,0.8608594,0.975,2.30606265526052,0.91888514895637,2.42432227860722,2.63833002564103
